,event_id,event_ts,requester_email,channel,market_raw,issue_type
65,66,2026-01-16 10:42:56,user10189@example.com,DIRECT,United States,LOGIN
66,67,2026-01-18 09:12:26,user10062@example.com,DIRECT, México ,BILLING
67,68,2026-01-05 16:56:48,user10127@partner-mail.com,PARTNER, España ,LOGIN
68,69,2026-01-11 06:56:32,user10108@example.com,DIRECT,Brasil,BUG
69,70,2026-01-05 05:24:47,user10122@example.com,DIRECT,United States,BUG
70,71,2026-01-04 11:51:53,user10183@example.com,DIRECT,Espa~na,HOWTO
71,72,2026-01-10 06:05:30,user10146@example.com,DIRECT,United States,BUG
72,73,2026-01-16 03:16:26,user10166@partner-mail.com,PARTNER,México,BUG
73,74,2026-01-17 04:54:10,user10149@example.com,DIRECT,Brasil,BUG
74,75,2026-01-01 21:55:21,user10055@partner-mail.com,PARTNER,Espana,LOGIN
75,76,2026-01-07 16:21:43,user10128@example.com,DIRECT,Bra~sil,LOGIN
76,77,2026-01-14 11:31:01,user10083@example.com,DIRECT, Canada,LOGIN
77,78,2026-01-09 22:45:00,user10092@example.com,DIRECT, España ,BILLING
78,79,2026-01-05 12:46:54,user10024@example.com,DIRECT,Espa~na,BILLING
79,80,2026-01-08 18:08:04,user10040@example.com,DIRECT,Me~xico,BILLING
80,81,2026-01-07 03:17:23,user10075@example.com,DIRECT,España,BILLING
81,82,2026-01-03 06:23:59,user10064@example.com,DIRECT,Brasil,BILLING
82,83,2026-01-12 00:49:13,user10140@example.com,DIRECT,United States,LOGIN
83,84,2026-01-06 15:50:56,user10064@example.com,DIRECT,Mexico,BILLING
84,85,2026-01-05 19:39:19,user10054@example.com,DIRECT,Bra~sil,HOWTO
85,86,2026-01-17 08:24:49,user10094@example.com,DIRECT,Espana,LOGIN
86,87,2026-01-11 09:41:36,user10125@example.com,DIRECT,Mexico,BILLING
87,88,2026-01-17 19:46:43,user10219@reseller.co,PARTNER,UNITED STATES,BUG
88,89,2026-01-09 01:11:35,user10112@example.com,DIRECT,Brasil,BUG
89,90,2026-01-05 11:38:53,user10077@example.com,DIRECT,CANADA ,HOWTO
90,91,2026-01-15 09:37:56,user10070@example.com,DIRECT,México,BILLING
91,92,2026-01-17 05:59:29,user10098@example.com,DIRECT,México,LOGIN
92,93,2026-01-05 08:23:17,user10203@example.com,DIRECT,Bra~sil,BUG
93,94,2026-01-01 06:58:31,user10081@alliances.net,PARTNER, México ,BUG
94,95,2026-01-18 18:04:02,user10054@example.com,DIRECT,Brasil,BUG
95,96,2026-01-13 02:02:55,user10127@example.com,DIRECT,Brasil,HOWTO
96,97,2026-01-07 01:56:47,user10170@example.com,DIRECT,Brasil,HOWTO
97,98,2026-01-01 08:40:12,user10208@example.com,DIRECT,UNITED STATES,BILLING
98,99,2026-01-11 02:58:04,user10061@example.com,DIRECT,CANADA ,LOGIN
99,100,2026-01-08 08:08:38,user10195@example.com,DIRECT, México ,HOWTO
100,101,2026-01-09 19:01:39,user10188@example.com,DIRECT,México,BILLING
101,102,2026-01-08 10:59:41,user10082@example.com,DIRECT, Canada,LOGIN
102,103,2026-01-12 16:04:43,user10073@example.com,DIRECT,Brasil,BUG
103,104,2026-01-08 15:46:49,user10058@example.com,DIRECT,CANADA ,BILLING
104,105,2026-01-18 13:07:06,user10069@example.com,DIRECT, Canada,BUG
105,106,2026-01-17 22:17:00,user10194@example.com,DIRECT,España,HOWTO
106,107,2026-01-02 15:42:51,user10068@example.com,DIRECT, Canada,BUG
107,108,2026-01-07 19:37:07,user10108@example.com,DIRECT,Brasil,BILLING
108,109,2026-01-17 22:45:47,user10205@example.com,DIRECT,España,BILLING
109,110,2026-01-01 13:45:59,user10150@partner-mail.com,PARTNER,UNITED STATES,LOGIN
110,111,2026-01-06 07:13:02,user10028@example.com,DIRECT,Espa~na,BILLING
111,112,2026-01-02 08:40:29,user10016@example.com,DIRECT,CANADA ,BUG
112,113,2026-01-07 00:12:25,user10049@example.com,DIRECT,México,LOGIN
113,114,2026-01-14 04:05:39,user10190@alliances.net,PARTNER,United States,LOGIN
114,115,2026-01-04 05:39:05,user10049@example.com,DIRECT,CANADA ,BUG
115,116,2026-01-03 14:11:13,user10068@alliances.net,PARTNER,Espa~na,BUG
116,117,2026-01-01 01:56:30,user10118@alliances.net,PARTNER,Brasil,HOWTO
117,118,2026-01-02 01:32:01,user10108@example.com,DIRECT, Canada,BILLING
118,119,2026-01-15 02:40:22,user10016@reseller.co,PARTNER,United States,LOGIN
119,120,2026-01-04 01:17:05,user10043@example.com,DIRECT, España ,BUG
120,121,2026-01-03 20:57:46,user10218@example.com,DIRECT,Me~xico,BUG
121,122,2026-01-18 15:24:49,user10092@example.com,DIRECT,United States,HOWTO
122,123,2026-01-07 14:55:08,user10061@reseller.co,PARTNER,United States,LOGIN
123,124,2026-01-09 03:56:33,user10182@reseller.co,PARTNER, Canada,HOWTO
124,125,2026-01-06 13:06:55,user10102@example.com,DIRECT,Me~xico,BILLING
125,126,2026-01-03 20:21:52,user10182@example.com,DIRECT,México,BUG
126,127,2026-01-13 06:49:57,user10035@example.com,DIRECT, Canada,BUG
127,128,2026-01-12 16:04:26,user10104@example.com,DIRECT,Brasil,HOWTO
128,129,2026-01-07 11:08:07,user10178@example.com,DIRECT, España ,LOGIN
129,130,2026-01-07 12:35:13,user10168@partner-mail.com,PARTNER,Me~xico,HOWTO
130,131,2026-01-02 16:41:49,user10148@example.com,DIRECT, México ,BUG
131,132,2026-01-10 22:28:09,user10100@reseller.co,PARTNER,UNITED STATES,BUG
132,133,2026-01-09 09:13:55,user10181@example.com,DIRECT,Espana,LOGIN
133,134,2026-01-18 03:09:49,user10082@example.com,DIRECT, México ,HOWTO
134,135,2026-01-06 21:03:23,user10145@example.com,DIRECT,United States,BILLING
135,136,2026-01-13 07:26:22,user10120@example.com,DIRECT,España,HOWTO
136,137,2026-01-07 22:13:38,user10066@example.com,DIRECT, Canada,BUG
137,138,2026-01-10 12:11:12,user10044@example.com,DIRECT, México ,BUG
138,139,2026-01-06 06:22:04,user10116@example.com,DIRECT,Espa~na,BILLING
139,140,2026-01-18 23:10:04,user10069@partner-mail.com,PARTNER,Espana,BUG
140,141,2026-01-08 04:10:16,user10113@example.com,DIRECT,UNITED STATES,BILLING
141,142,2026-01-10 01:53:22,user10155@partner-mail.com,PARTNER,España,HOWTO
142,143,2026-01-03 06:03:16,user10176@example.com,DIRECT,CANADA ,BUG
143,144,2026-01-09 14:26:46,user10169@partner-mail.com,PARTNER,Me~xico,BILLING
144,145,2026-01-17 18:06:23,user10112@partner-mail.com,PARTNER, España ,BUG
145,146,2026-01-16 22:04:05,user10012@example.com,DIRECT,Me~xico,BUG
146,147,2026-01-11 16:05:52,user10039@alliances.net,PARTNER,Espa~na,LOGIN
147,148,2026-01-18 03:28:32,user10161@example.com,DIRECT,Espana,BUG
148,149,2026-01-03 12:38:25,user10130@example.com,DIRECT,United States,BUG
149,150,2026-01-13 16:53:52,user10179@partner-mail.com,PARTNER,Mexico,LOGIN
150,151,2026-01-08 20:49:49,user10107@example.com,DIRECT, Canada,BUG
151,152,2026-01-07 16:34:34,user10097@example.com,DIRECT,Mexico,BUG
152,153,2026-01-18 19:17:05,user10053@example.com,DIRECT, España ,HOWTO
153,154,2026-01-08 08:38:52,user10013@partner-mail.com,PARTNER,Mexico,HOWTO
154,155,2026-01-11 09:26:18,user10031@reseller.co,PARTNER,Espa~na,BILLING
155,156,2026-01-01 12:51:15,user10150@example.com,DIRECT,Me~xico,HOWTO
156,157,2026-01-04 05:27:53,user10127@example.com,DIRECT, España ,HOWTO
157,158,2026-01-05 22:26:49,user10054@example.com,DIRECT,Espana,LOGIN
158,159,2026-01-13 17:33:34,user10079@example.com,DIRECT, México ,HOWTO
159,160,2026-01-14 11:13:53,user10141@example.com,DIRECT,Espana,BILLING
160,161,2026-01-08 10:02:57,user10084@example.com,DIRECT,Me~xico,BILLING
161,162,2026-01-09 10:57:09,user10082@example.com,DIRECT, España ,LOGIN
162,163,2026-01-12 00:30:27,user10059@example.com,DIRECT,UNITED STATES,BILLING
163,164,2026-01-16 13:32:29,user10140@example.com,DIRECT, Canada,BILLING
164,165,2026-01-14 20:50:02,user10195@example.com,DIRECT, España ,LOGIN
165,166,2026-01-13 00:46:03,user10056@example.com,DIRECT,UNITED STATES,HOWTO
166,167,2026-01-02 23:23:53,user10064@example.com,DIRECT,Mexico,BUG
167,168,2026-01-11 19:25:43,user10104@example.com,DIRECT, Canada,HOWTO
168,169,2026-01-03 03:35:47,user10041@example.com,DIRECT,Me~xico,BUG
169,170,2026-01-15 01:13:50,user10115@example.com,DIRECT,España,LOGIN
170,171,2026-01-11 17:20:13,user10194@example.com,DIRECT,United States,BILLING
171,172,2026-01-09 23:29:25,user10138@alliances.net,PARTNER,CANADA ,BILLING
172,173,2026-01-01 08:38:44,user10036@partner-mail.com,PARTNER, México ,HOWTO
173,174,2026-01-13 23:17:41,user10044@partner-mail.com,PARTNER,CANADA ,BUG
174,175,2026-01-10 23:57:50,user10016@example.com,DIRECT,Espa~na,BUG
175,176,2026-01-09 19:38:38,user10211@example.com,DIRECT,CANADA ,HOWTO
176,177,2026-01-05 21:50:08,user10076@example.com,DIRECT, México ,BUG
177,178,2026-01-07 21:29:23,user10063@example.com,DIRECT, Canada,LOGIN
178,179,2026-01-15 00:05:42,user10188@example.com,DIRECT,UNITED STATES,HOWTO
179,180,2026-01-14 14:46:23,user10067@reseller.co,PARTNER, España ,BUG
180,181,2026-01-16 00:30:55,user10051@alliances.net,PARTNER, Canada,BILLING
181,182,2026-01-02 07:20:12,user10056@example.com,DIRECT,Me~xico,HOWTO
182,183,2026-01-04 03:01:01,user10087@example.com,DIRECT,CANADA ,LOGIN
183,184,2026-01-18 14:29:27,user10014@reseller.co,PARTNER,Me~xico,HOWTO
184,185,2026-01-02 17:44:14,user10141@reseller.co,PARTNER,United States,HOWTO
185,186,2026-01-18 16:17:30,user10093@example.com,DIRECT,Espana,HOWTO
186,187,2026-01-13 05:44:56,user10213@example.com,DIRECT,Me~xico,BILLING
187,188,2026-01-15 03:23:57,user10169@example.com,DIRECT, México ,BUG
188,189,2026-01-08 01:26:36,user10084@example.com,DIRECT,Mexico,LOGIN
189,190,2026-01-09 18:35:38,user10156@example.com,DIRECT, España ,HOWTO
190,191,2026-01-06 12:57:40,user10177@example.com,DIRECT,United States,BILLING
191,192,2026-01-09 07:17:28,user10043@example.com,DIRECT,UNITED STATES,HOWTO
192,193,2026-01-17 07:30:14,user10035@example.com,DIRECT,Brasil,HOWTO
193,194,2026-01-08 12:18:04,user10030@example.com,DIRECT,Bra~sil,BUG
194,195,2026-01-02 09:03:38,user10009@example.com,DIRECT,UNITED STATES,BUG
195,196,2026-01-09 06:23:51,user10070@alliances.net,PARTNER,CANADA ,BUG
196,197,2026-01-02 07:52:49,user10174@example.com,DIRECT,Espa~na,HOWTO
197,198,2026-01-04 06:46:22,user10169@example.com,DIRECT,Espana,BILLING
198,199,2026-01-04 23:08:38,user10083@alliances.net,PARTNER,Bra~sil,HOWTO
199,200,2026-01-15 21:02:12,user10107@example.com,DIRECT,Bra~sil,LOGIN
200,201,2026-01-07 16:30:35,user10168@example.com,DIRECT,Espana,LOGIN
201,202,2026-01-16 18:29:04,user10203@example.com,DIRECT,CANADA ,HOWTO
202,203,2026-01-13 01:53:25,user10061@example.com,DIRECT,Espana,BILLING
203,204,2026-01-10 01:30:09,user10144@example.com,DIRECT,Me~xico,BILLING
204,205,2026-01-05 04:02:57,user10130@example.com,DIRECT,Mexico,BUG
205,206,2026-01-16 18:30:23,user10136@example.com,DIRECT, España ,BUG
206,207,2026-01-12 19:51:29,user10176@alliances.net,PARTNER,Brasil,BILLING
207,208,2026-01-06 22:11:58,user10168@reseller.co,PARTNER,Me~xico,BUG
208,209,2026-01-06 02:06:50,user10087@example.com,DIRECT,United States,LOGIN
209,210,2026-01-16 16:53:38,user10165@example.com,DIRECT, México ,BILLING
210,211,2026-01-12 00:27:32,user10012@example.com,DIRECT,CANADA ,LOGIN
211,212,2026-01-18 16:36:54,user10075@partner-mail.com,PARTNER,Me~xico,BILLING
212,213,2026-01-10 06:40:42,user10047@example.com,DIRECT,Mexico,LOGIN
213,214,2026-01-13 06:20:16,user10056@alliances.net,PARTNER,Mexico,LOGIN
214,215,2026-01-15 03:32:31,user10198@example.com,DIRECT,Me~xico,LOGIN
215,216,2026-01-18 16:46:33,user10096@reseller.co,PARTNER,Bra~sil,HOWTO
216,217,2026-01-04 16:39:01,user10016@example.com,DIRECT,Me~xico,LOGIN
217,218,2026-01-14 09:05:50,user10107@example.com,DIRECT,United States,BILLING
218,219,2026-01-09 04:37:51,user10015@example.com,DIRECT,United States,HOWTO
219,220,2026-01-13 22:08:54,user10031@example.com,DIRECT, España ,BUG
220,221,2026-01-01 07:06:36,user10084@example.com,DIRECT,México,HOWTO
221,222,2026-01-09 16:54:26,user10097@example.com,DIRECT,United States,LOGIN
222,223,2026-01-18 08:40:53,user10051@example.com,DIRECT,Me~xico,BUG
223,224,2026-01-02 07:44:42,user10140@example.com,DIRECT,Espana,LOGIN
224,225,2026-01-04 10:08:26,user10109@partner-mail.com,PARTNER,México,HOWTO
225,226,2026-01-03 21:12:26,user10029@example.com,DIRECT,Bra~sil,LOGIN
226,227,2026-01-15 07:45:24,user10180@example.com,DIRECT,Espa~na,HOWTO
227,228,2026-01-15 18:34:41,user10030@alliances.net,PARTNER,Mexico,LOGIN
228,229,2026-01-11 19:04:43,user10079@example.com,DIRECT, México ,BUG
229,230,2026-01-04 04:49:32,user10038@example.com,DIRECT, México ,BUG
230,231,2026-01-18 14:04:54,user10207@partner-mail.com,PARTNER,Me~xico,BUG
231,232,2026-01-13 05:09:16,user10062@example.com,DIRECT,Mexico,BILLING
232,233,2026-01-09 01:16:50,user10190@example.com,DIRECT,Espa~na,HOWTO
233,234,2026-01-03 00:18:40,user10211@example.com,DIRECT,España,LOGIN
234,235,2026-01-11 10:18:11,user10048@example.com,DIRECT,Me~xico,BILLING
235,236,2026-01-14 18:28:46,user10005@example.com,DIRECT,Espa~na,BUG
236,237,2026-01-05 05:41:20,user10002@example.com,DIRECT,UNITED STATES,BILLING
237,238,2026-01-18 02:03:47,user10040@example.com,DIRECT,UNITED STATES,BUG
238,239,2026-01-14 10:20:33,user10088@example.com,DIRECT,Espana,BUG
239,240,2026-01-12 06:36:34,user10036@example.com,DIRECT,México,BILLING
240,241,2026-01-10 04:40:12,user10210@example.com,DIRECT,Mexico,BILLING
241,242,2026-01-01 17:40:22,user10104@example.com,DIRECT,UNITED STATES,BILLING
242,243,2026-01-03 01:27:24,user10186@example.com,DIRECT,Espana,BUG
243,244,2026-01-14 07:20:12,user10003@example.com,DIRECT, México ,BUG
244,245,2026-01-02 20:12:55,user10029@example.com,DIRECT,United States,HOWTO
245,246,2026-01-09 06:51:37,user10100@example.com,DIRECT,United States,LOGIN
246,247,2026-01-04 09:58:25,user10035@alliances.net,PARTNER,México,BILLING
247,248,2026-01-16 01:35:27,user10035@example.com,DIRECT,Me~xico,BUG
248,249,2026-01-16 03:40:13,user10005@example.com,DIRECT,Me~xico,HOWTO
249,250,2026-01-03 01:12:31,user10059@example.com,DIRECT,UNITED STATES,BUG
250,251,2026-01-08 12:16:01,user10167@reseller.co,PARTNER,Brasil,LOGIN
251,252,2026-01-06 13:43:23,user10174@example.com,DIRECT,Me~xico,LOGIN
252,253,2026-01-01 10:28:30,user10111@example.com,DIRECT,España,BUG
253,254,2026-01-17 03:19:30,user10040@partner-mail.com,PARTNER, España ,HOWTO
254,255,2026-01-14 05:13:14,user10098@example.com,DIRECT,Espana,BILLING
255,256,2026-01-16 23:07:51,user10135@example.com,DIRECT,Espa~na,BUG
256,257,2026-01-06 17:41:52,user10032@alliances.net,PARTNER,Brasil,BUG
257,258,2026-01-17 00:37:18,user10089@example.com,DIRECT,España,HOWTO
258,259,2026-01-02 23:43:41,user10181@reseller.co,PARTNER,CANADA ,LOGIN
259,260,2026-01-10 07:34:50,user10091@example.com,DIRECT,España,LOGIN
260,261,2026-01-03 11:23:17,user10103@alliances.net,PARTNER, Canada,BILLING
261,262,2026-01-13 04:24:48,user10179@example.com,DIRECT,Bra~sil,BILLING
262,263,2026-01-11 11:39:52,user10147@example.com,DIRECT,Espa~na,BUG
263,264,2026-01-17 21:34:47,user10035@example.com,DIRECT,México,LOGIN
264,265,2026-01-14 04:27:39,user10134@example.com,DIRECT,Me~xico,HOWTO
265,266,2026-01-12 18:01:04,user10203@example.com,DIRECT,United States,LOGIN
266,267,2026-01-07 20:28:35,user10046@example.com,DIRECT,España,BUG
267,268,2026-01-02 02:40:28,user10196@example.com,DIRECT,Espa~na,LOGIN
268,269,2026-01-17 04:43:36,user10129@example.com,DIRECT,México,BUG
269,270,2026-01-03 01:20:05,user10147@example.com,DIRECT,UNITED STATES,LOGIN
270,271,2026-01-03 14:59:12,user10072@example.com,DIRECT,Bra~sil,BILLING
271,272,2026-01-01 01:59:38,user10010@example.com,DIRECT,Espa~na,BILLING
272,273,2026-01-16 05:05:28,user10005@example.com,DIRECT,Bra~sil,LOGIN
273,274,2026-01-03 17:44:59,user10145@example.com,DIRECT, España ,BILLING
274,275,2026-01-05 23:55:40,user10216@partner-mail.com,PARTNER,México,HOWTO
275,276,2026-01-01 17:56:04,user10132@example.com,DIRECT,Mexico,HOWTO
276,277,2026-01-16 17:42:45,user10078@example.com,DIRECT,Brasil,BUG
277,278,2026-01-07 15:11:08,user10169@example.com,DIRECT, España ,BILLING
278,279,2026-01-13 10:57:51,user10207@alliances.net,PARTNER,UNITED STATES,HOWTO
279,280,2026-01-12 11:44:19,user10047@example.com,DIRECT,México,BUG
280,281,2026-01-12 14:52:44,user10022@example.com,DIRECT,Espa~na,HOWTO
281,282,2026-01-16 11:06:44,user10209@example.com,DIRECT,CANADA ,BUG
282,283,2026-01-16 01:17:54,user10009@example.com,DIRECT,UNITED STATES,BILLING
283,284,2026-01-08 14:17:35,user10194@example.com,DIRECT,Espana,LOGIN
284,285,2026-01-05 04:51:08,user10031@alliances.net,PARTNER,Bra~sil,LOGIN
285,286,2026-01-03 02:36:14,user10025@example.com,DIRECT, España ,BILLING
286,287,2026-01-02 09:13:25,user10060@example.com,DIRECT,United States,BILLING
287,288,2026-01-17 19:04:06,user10069@example.com,DIRECT,Espana,HOWTO
288,289,2026-01-06 12:11:41,user10072@example.com,DIRECT,Espa~na,LOGIN
289,290,2026-01-17 18:39:40,user10007@example.com,DIRECT, Canada,BUG
290,291,2026-01-12 17:14:08,user10187@example.com,DIRECT,Me~xico,BILLING
291,292,2026-01-18 16:20:21,user10182@reseller.co,PARTNER,España,HOWTO
292,293,2026-01-11 05:08:00,user10149@partner-mail.com,PARTNER,Brasil,BUG
293,294,2026-01-01 05:39:13,user10201@partner-mail.com,PARTNER, México ,BILLING
294,295,2026-01-14 12:06:36,user10206@reseller.co,PARTNER,Bra~sil,BILLING
295,296,2026-01-11 05:09:10,user10217@example.com,DIRECT,United States,BUG
296,297,2026-01-05 21:51:08,user10082@example.com,DIRECT,España,BILLING
297,298,2026-01-12 23:31:30,user10134@example.com,DIRECT,Mexico,BILLING
298,299,2026-01-03 21:00:46,user10167@example.com,DIRECT,Mexico,BILLING
299,300,2026-01-10 22:45:58,user10146@example.com,DIRECT,España,BILLING
300,301,2026-01-16 16:04:42,user10174@example.com,DIRECT,CANADA ,BUG
301,302,2026-01-04 17:57:11,user10149@example.com,DIRECT, España ,BUG
302,303,2026-01-11 14:04:33,user10085@example.com,DIRECT,CANADA ,BUG
303,304,2026-01-17 18:50:45,user10125@example.com,DIRECT,UNITED STATES,LOGIN
304,305,2026-01-15 03:35:09,user10043@example.com,DIRECT,México,BUG
305,306,2026-01-10 10:59:40,user10209@example.com,DIRECT,España,BUG
306,307,2026-01-02 15:29:37,user10196@alliances.net,PARTNER,Bra~sil,BILLING
307,308,2026-01-01 21:02:57,user10133@example.com,DIRECT,United States,BILLING
308,309,2026-01-04 16:25:54,user10168@partner-mail.com,PARTNER,CANADA ,BUG
309,310,2026-01-07 16:34:16,user10073@example.com,DIRECT,España,BUG
310,311,2026-01-11 03:20:01,user10083@reseller.co,PARTNER,Brasil,LOGIN
311,312,2026-01-14 10:30:23,user10112@alliances.net,PARTNER,Espa~na,BUG
312,313,2026-01-14 09:27:13,user10058@example.com,DIRECT,Brasil,BILLING
313,314,2026-01-04 16:21:15,user10004@example.com,DIRECT, Canada,BUG
314,315,2026-01-07 04:54:56,user10087@example.com,DIRECT,Me~xico,BILLING
315,316,2026-01-14 01:54:41,user10159@example.com,DIRECT,Brasil,HOWTO
316,317,2026-01-14 07:43:52,user10057@example.com,DIRECT,Espana,HOWTO
317,318,2026-01-04 09:28:11,user10152@reseller.co,PARTNER,Mexico,LOGIN
318,319,2026-01-04 03:29:28,user10131@example.com,DIRECT,Brasil,HOWTO
319,320,2026-01-08 20:15:03,user10092@example.com,DIRECT,Bra~sil,BUG
320,321,2026-01-06 15:40:40,user10159@example.com,DIRECT,United States,BUG
321,322,2026-01-06 11:30:57,user10187@example.com,DIRECT,Espa~na,BUG
322,323,2026-01-09 11:05:00,user10209@example.com,DIRECT,México,BUG
323,324,2026-01-03 13:21:02,user10166@reseller.co,PARTNER,United States,HOWTO
324,325,2026-01-01 03:38:13,user10020@example.com,DIRECT,España,BUG
325,326,2026-01-16 13:27:22,user10074@example.com,DIRECT,Brasil,BILLING
326,327,2026-01-10 02:56:56,user10116@example.com,DIRECT,Mexico,BILLING
327,328,2026-01-07 22:37:56,user10017@example.com,DIRECT,UNITED STATES,HOWTO
328,329,2026-01-09 22:51:32,user10092@alliances.net,PARTNER,CANADA ,BUG
329,330,2026-01-14 04:49:13,user10029@reseller.co,PARTNER,Brasil,BUG
330,331,2026-01-09 04:11:16,user10121@example.com,DIRECT,México,LOGIN
331,332,2026-01-17 16:21:17,user10040@example.com,DIRECT,Brasil,HOWTO
332,333,2026-01-15 14:56:06,user10059@example.com,DIRECT,Bra~sil,BILLING
333,334,2026-01-06 10:46:47,user10066@example.com,DIRECT,United States,BILLING
334,335,2026-01-12 20:01:48,user10214@example.com,DIRECT,Espana,LOGIN
335,336,2026-01-01 05:39:02,user10098@example.com,DIRECT,Brasil,HOWTO
336,337,2026-01-09 21:26:27,user10122@example.com,DIRECT, España ,BUG
