,customer_id,email,email_local,email_domain
123,10123,user10123@example.com,user10123,example.com
124,10124,user10124@example.com,user10124,example.com
125,10125,user10125@example.com,user10125,example.com
126,10126,user10126@example.com,user10126,example.com
127,10127,user10127@example.com,user10127,example.com
128,10128,user10128@example.com,user10128,example.com
129,10129,user10129@example.com,user10129,example.com
130,10130,user10130@example.com,user10130,example.com
131,10131,user10131@example.com,user10131,example.com
132,10132,user10132@example.com,user10132,example.com
133,10133,user10133@example.com,user10133,example.com
134,10134,user10134@example.com,user10134,example.com
135,10135,user10135@example.com,user10135,example.com
136,10136,user10136@example.com,user10136,example.com
137,10137,user10137@example.com,user10137,example.com
138,10138,user10138@example.com,user10138,example.com
139,10139,user10139@example.com,user10139,example.com
140,10140,user10140@example.com,user10140,example.com
141,10141,user10141@example.com,user10141,example.com
142,10142,user10142@example.com,user10142,example.com
143,10143,user10143@example.com,user10143,example.com
144,10144,user10144@example.com,user10144,example.com
145,10145,user10145@example.com,user10145,example.com
146,10146,user10146@example.com,user10146,example.com
147,10147,user10147@example.com,user10147,example.com
148,10148,user10148@example.com,user10148,example.com
149,10149,user10149@example.com,user10149,example.com
150,10150,user10150@example.com,user10150,example.com
151,10151,user10151@example.com,user10151,example.com
152,10152,user10152@example.com,user10152,example.com
153,10153,user10153@example.com,user10153,example.com
154,10154,user10154@example.com,user10154,example.com
155,10155,user10155@example.com,user10155,example.com
156,10156,user10156@example.com,user10156,example.com
157,10157,user10157@example.com,user10157,example.com
158,10158,user10158@example.com,user10158,example.com
159,10159,user10159@example.com,user10159,example.com
160,10160,user10160@example.com,user10160,example.com
161,10161,user10161@example.com,user10161,example.com
162,10162,user10162@example.com,user10162,example.com
163,10163,user10163@example.com,user10163,example.com
164,10164,user10164@example.com,user10164,example.com
165,10165,user10165@example.com,user10165,example.com
166,10166,user10166@example.com,user10166,example.com
167,10167,user10167@example.com,user10167,example.com
168,10168,user10168@example.com,user10168,example.com
169,10169,user10169@example.com,user10169,example.com
170,10170,user10170@example.com,user10170,example.com
171,10171,user10171@example.com,user10171,example.com
172,10172,user10172@example.com,user10172,example.com
173,10173,user10173@example.com,user10173,example.com
174,10174,user10174@example.com,user10174,example.com
175,10175,user10175@example.com,user10175,example.com
176,10176,user10176@example.com,user10176,example.com
177,10177,user10177@example.com,user10177,example.com
178,10178,user10178@example.com,user10178,example.com
179,10179,user10179@example.com,user10179,example.com
180,10180,user10180@example.com,user10180,example.com
181,10181,user10181@example.com,user10181,example.com
182,10182,user10182@example.com,user10182,example.com
183,10183,user10183@example.com,user10183,example.com
184,10184,user10184@example.com,user10184,example.com
185,10185,user10185@example.com,user10185,example.com
186,10186,user10186@example.com,user10186,example.com
187,10187,user10187@example.com,user10187,example.com
188,10188,user10188@example.com,user10188,example.com
189,10189,user10189@example.com,user10189,example.com
190,10190,user10190@example.com,user10190,example.com
191,10191,user10191@example.com,user10191,example.com
192,10192,user10192@example.com,user10192,example.com
193,10193,user10193@example.com,user10193,example.com
194,10194,user10194@example.com,user10194,example.com
195,10195,user10195@example.com,user10195,example.com
196,10196,user10196@example.com,user10196,example.com
197,10197,user10197@example.com,user10197,example.com
198,10198,user10198@example.com,user10198,example.com
199,10199,user10199@example.com,user10199,example.com
200,10200,user10200@example.com,user10200,example.com
201,10201,user10201@example.com,user10201,example.com
202,10202,user10202@example.com,user10202,example.com
203,10203,user10203@example.com,user10203,example.com
204,10204,user10204@example.com,user10204,example.com
205,10205,user10205@example.com,user10205,example.com
206,10206,user10206@example.com,user10206,example.com
207,10207,user10207@example.com,user10207,example.com
208,10208,user10208@example.com,user10208,example.com
209,10209,user10209@example.com,user10209,example.com
210,10210,user10210@example.com,user10210,example.com
211,10211,user10211@example.com,user10211,example.com
212,10212,user10212@example.com,user10212,example.com
213,10213,user10213@example.com,user10213,example.com
214,10214,user10214@example.com,user10214,example.com
215,10215,user10215@example.com,user10215,example.com
216,10216,user10216@example.com,user10216,example.com
217,10217,user10217@example.com,user10217,example.com
218,10218,user10218@example.com,user10218,example.com
219,10219,user10219@example.com,user10219,example.com
