customer_name,ticket,region,event_ts,product,priority,event_type,agent,channel,status_before,status_after,tag,handling_seconds
Mia Anderson,TCKT-100006,West,2025-10-06 11:11:00,Pro,Medium,status_changed,E. Johnson,phone,open,pending,account,978
Mia Anderson,TCKT-100006,West,2025-10-06 11:11:00,Pro,Medium,comment_added,B. Rivera,email,pending,pending,account,1647
Mia Anderson,TCKT-100006,West,2025-10-06 14:09:00,Pro,Medium,tag_added,B. Rivera,email,pending,pending,feature_request,205
Zoe Brown,TCKT-100007,Northeast,2025-11-30 08:56:00,Pro,Low,comment_added,D. Kim,email,new,new,refund,917
Zoe Brown,TCKT-100007,Northeast,2025-11-30 08:56:00,Pro,Low,tag_added,A. Chen,chat,new,new,feature_request,1647
Zoe Brown,TCKT-100007,Northeast,2025-11-30 12:52:00,Pro,Low,comment_added,E. Johnson,web,new,new,refund,1272
Ethan Miller,TCKT-100008,Mountain,2025-10-09 23:57:00,Basic,High,comment_added,F. Singh,chat,new,new,billing,398
Ethan Miller,TCKT-100008,Mountain,2025-10-09 23:57:00,Basic,High,tag_removed,E. Johnson,email,new,new,login,965
Ethan Lee,TCKT-100009,West,2025-09-07 06:31:00,Pro,Medium,comment_added,G. Nguyen,phone,new,new,refund,61
Ethan Lee,TCKT-100009,West,2025-09-07 06:31:00,Pro,Medium,tag_removed,G. Nguyen,email,new,new,bug,561
Ethan Lee,TCKT-100009,West,2025-09-07 06:31:00,Pro,Medium,status_changed,C. Patel,chat,new,pending,how_to,1231
Ethan Lee,TCKT-100009,West,2025-09-07 07:46:00,Pro,Medium,tag_added,B. Rivera,email,pending,pending,login,1044
Ava Davis,TCKT-100010,Mountain,2025-12-06 09:14:00,Pro,Medium,comment_added,F. Singh,email,new,new,login,311
Ava Davis,TCKT-100010,Mountain,2025-12-06 11:21:00,Pro,Medium,comment_added,C. Patel,email,new,new,login,607
Ava Davis,TCKT-100010,Mountain,2025-12-06 11:51:00,Pro,Medium,comment_added,F. Singh,phone,new,new,bug,1149
Isla Wilson,TCKT-100011,West,2025-10-19 02:04:00,Pro,Low,comment_added,C. Patel,email,new,new,account,1243
Isla Wilson,TCKT-100011,West,2025-10-19 02:37:00,Pro,Low,tag_added,F. Singh,email,new,new,feature_request,942
Isla Wilson,TCKT-100011,West,2025-10-19 02:37:00,Pro,Low,comment_added,G. Nguyen,email,new,new,refund,1258
Isla Wilson,TCKT-100011,West,2025-10-19 03:55:00,Pro,Low,comment_added,D. Kim,chat,new,new,bug,624
Isla Wilson,TCKT-100011,West,2025-10-19 03:55:00,Pro,Low,status_changed,B. Rivera,web,new,open,feature_request,1266
Isla Wilson,TCKT-100011,West,2025-10-19 03:55:00,Pro,Low,tag_added,B. Rivera,phone,open,open,account,1597
Isla Wilson,TCKT-100011,West,2025-10-19 06:43:00,Pro,Low,comment_added,B. Rivera,chat,open,open,refund,239
Isla Wilson,TCKT-100011,West,2025-10-19 06:43:00,Pro,Low,tag_added,D. Kim,chat,open,open,how_to,1591
Noah Martinez,TCKT-100012,South,2025-08-25 00:51:00,Basic,High,comment_added,C. Patel,phone,new,new,account,900
Noah Martinez,TCKT-100012,South,2025-08-25 00:51:00,Basic,High,assigned,C. Patel,phone,new,new,login,1460
Noah Martinez,TCKT-100012,South,2025-08-25 03:16:00,Basic,High,comment_added,A. Chen,email,new,new,refund,129
Noah Martinez,TCKT-100012,South,2025-08-25 03:16:00,Basic,High,assigned,G. Nguyen,email,new,new,login,1467
Noah Martinez,TCKT-100012,South,2025-08-25 03:16:00,Basic,High,tag_removed,G. Nguyen,chat,new,new,bug,1529
Noah Martinez,TCKT-100012,South,2025-08-25 05:40:00,Basic,High,comment_added,C. Patel,web,new,new,billing,704
Noah Martinez,TCKT-100012,South,2025-08-25 06:18:00,Basic,High,comment_added,C. Patel,chat,new,new,login,1079
Noah Martinez,TCKT-100012,South,2025-08-25 06:18:00,Basic,High,status_changed,C. Patel,chat,new,closed,bug,498
Noah Martinez,TCKT-100012,South,2025-08-25 06:18:00,Basic,High,tag_added,D. Kim,email,closed,closed,feature_request,1018
Zoe Wilson,TCKT-100013,Northeast,2025-08-26 12:55:00,Enterprise,Medium,tag_added,D. Kim,chat,new,new,refund,298
Zoe Wilson,TCKT-100013,Northeast,2025-08-26 12:55:00,Enterprise,Medium,status_changed,E. Johnson,phone,new,new,refund,883
Zoe Wilson,TCKT-100013,Northeast,2025-08-26 13:29:00,Enterprise,Medium,comment_added,E. Johnson,phone,new,new,account,110
Mason Martinez,TCKT-100014,West,2025-09-14 19:31:00,Pro,Medium,comment_added,B. Rivera,phone,new,new,account,41
Mason Martinez,TCKT-100014,West,2025-09-14 19:31:00,Pro,Medium,assigned,G. Nguyen,email,new,new,bug,1206
Mason Martinez,TCKT-100014,West,2025-09-14 19:38:00,Pro,Medium,tag_added,C. Patel,chat,new,new,feature_request,898
Mason Martinez,TCKT-100014,West,2025-09-14 19:38:00,Pro,Medium,comment_added,C. Patel,email,new,new,feature_request,1623
Mason Martinez,TCKT-100014,West,2025-09-14 19:38:00,Pro,Medium,status_changed,G. Nguyen,email,new,new,how_to,376
Mason Martinez,TCKT-100014,West,2025-09-14 20:15:00,Pro,Medium,comment_added,A. Chen,email,new,new,how_to,1043
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 11:23:00,Basic,Low,comment_added,E. Johnson,web,new,new,how_to,1385
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 11:23:00,Basic,Low,status_changed,D. Kim,email,new,open,how_to,762
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 11:23:00,Basic,Low,tag_added,E. Johnson,phone,open,open,refund,162
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 12:52:00,Basic,Low,comment_added,A. Chen,chat,open,open,how_to,686
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 12:52:00,Basic,Low,status_changed,F. Singh,email,open,open,billing,983
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 12:52:00,Basic,Low,tag_added,F. Singh,phone,open,open,how_to,849
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 14:58:00,Basic,Low,status_changed,E. Johnson,chat,open,new,login,1787
Lucas Thomas,TCKT-100015,Midwest,2025-08-25 18:32:00,Basic,Low,comment_added,B. Rivera,web,new,new,refund,535
Mason Garcia,TCKT-100016,Mountain,2025-09-05 08:54:00,Basic,Medium,comment_added,A. Chen,email,new,new,billing,982
Mason Garcia,TCKT-100016,Mountain,2025-09-05 10:03:00,Basic,Medium,tag_added,E. Johnson,web,new,new,feature_request,614
Mason Garcia,TCKT-100016,Mountain,2025-09-05 10:03:00,Basic,Medium,status_changed,F. Singh,email,new,resolved,refund,288
Ethan Garcia,TCKT-100017,South,2025-12-14 16:36:00,Pro,Medium,comment_added,G. Nguyen,email,new,new,bug,1258
Ethan Garcia,TCKT-100017,South,2025-12-14 16:36:00,Pro,Medium,status_changed,D. Kim,web,new,resolved,login,865
Ethan Garcia,TCKT-100017,South,2025-12-14 16:36:00,Pro,Medium,assigned,G. Nguyen,chat,resolved,resolved,billing,835
Ethan Garcia,TCKT-100017,South,2025-12-14 19:09:00,Pro,Medium,comment_added,G. Nguyen,phone,resolved,resolved,account,667
Ethan Garcia,TCKT-100017,South,2025-12-14 19:40:00,Pro,Medium,status_changed,C. Patel,chat,resolved,resolved,feature_request,1088
Ethan Garcia,TCKT-100017,South,2025-12-14 19:48:00,Pro,Medium,assigned,A. Chen,email,resolved,resolved,billing,1260
Ethan Garcia,TCKT-100017,South,2025-12-14 20:59:00,Pro,Medium,comment_added,D. Kim,email,resolved,resolved,refund,1556
Ethan Garcia,TCKT-100017,South,2025-12-14 20:59:00,Pro,Medium,tag_removed,A. Chen,email,resolved,resolved,refund,508
Ava Wilson,TCKT-100018,South,2025-11-08 10:51:00,Pro,High,comment_added,G. Nguyen,web,new,new,account,1555
Ava Wilson,TCKT-100018,South,2025-11-08 10:51:00,Pro,High,tag_added,C. Patel,email,new,new,feature_request,1110
Ava Wilson,TCKT-100018,South,2025-11-08 10:51:00,Pro,High,assigned,C. Patel,web,new,new,billing,690
Isla Davis,TCKT-100019,South,2025-09-22 06:12:00,Basic,Medium,tag_removed,E. Johnson,phone,new,new,refund,1254
Isla Davis,TCKT-100019,South,2025-09-22 09:11:00,Basic,Medium,comment_added,D. Kim,email,new,new,account,1062
Isla Davis,TCKT-100019,South,2025-09-22 10:56:00,Basic,Medium,comment_added,E. Johnson,phone,new,new,bug,1635
Isla Davis,TCKT-100019,South,2025-09-22 10:56:00,Basic,Medium,status_changed,G. Nguyen,phone,new,closed,account,497
Isla Davis,TCKT-100019,South,2025-09-22 12:46:00,Basic,Medium,comment_added,G. Nguyen,email,closed,closed,feature_request,1204
Isla Davis,TCKT-100019,South,2025-09-22 12:46:00,Basic,Medium,assigned,A. Chen,web,closed,closed,login,298
Olivia Wilson,TCKT-100020,West,2025-09-29 02:41:00,Basic,High,comment_added,G. Nguyen,email,new,new,billing,1539
Olivia Wilson,TCKT-100020,West,2025-09-29 02:41:00,Basic,High,status_changed,B. Rivera,chat,new,resolved,bug,1268
Olivia Wilson,TCKT-100020,West,2025-09-29 02:41:00,Basic,High,tag_removed,C. Patel,email,resolved,resolved,feature_request,1204
Olivia Wilson,TCKT-100020,West,2025-09-29 05:00:00,Basic,High,status_changed,C. Patel,phone,resolved,pending,login,781
Olivia Wilson,TCKT-100020,West,2025-09-29 06:42:00,Basic,High,tag_added,B. Rivera,chat,pending,pending,billing,319
Olivia Wilson,TCKT-100020,West,2025-09-29 10:13:00,Basic,High,assigned,C. Patel,email,pending,pending,bug,1214
Olivia Wilson,TCKT-100020,West,2025-09-29 10:33:00,Basic,High,status_changed,E. Johnson,email,pending,new,account,825
Olivia Wilson,TCKT-100020,West,2025-09-29 10:33:00,Basic,High,comment_added,C. Patel,email,new,new,bug,853
Olivia Martinez,TCKT-100021,West,2025-09-28 15:26:00,Basic,Medium,comment_added,F. Singh,phone,new,new,feature_request,390
Olivia Martinez,TCKT-100021,West,2025-09-28 15:26:00,Basic,Medium,assigned,G. Nguyen,email,new,new,bug,206
Olivia Martinez,TCKT-100021,West,2025-09-28 16:48:00,Basic,Medium,tag_added,C. Patel,chat,new,new,bug,671
Olivia Martinez,TCKT-100021,West,2025-09-28 17:46:00,Basic,Medium,tag_added,C. Patel,phone,new,new,feature_request,511
Olivia Martinez,TCKT-100021,West,2025-09-28 17:46:00,Basic,Medium,status_changed,E. Johnson,email,new,pending,bug,986
Olivia Davis,TCKT-100022,Northeast,2025-12-15 15:47:00,Pro,Low,assigned,A. Chen,email,new,new,how_to,796
Olivia Davis,TCKT-100022,Northeast,2025-12-15 19:12:00,Pro,Low,comment_added,E. Johnson,email,new,new,bug,1007
Olivia Davis,TCKT-100022,Northeast,2025-12-15 19:12:00,Pro,Low,status_changed,C. Patel,email,new,pending,refund,1488
Olivia Davis,TCKT-100022,Northeast,2025-12-15 22:58:00,Pro,Low,comment_added,E. Johnson,email,pending,pending,login,1776
Olivia Davis,TCKT-100022,Northeast,2025-12-16 02:42:00,Pro,Low,assigned,E. Johnson,email,pending,pending,feature_request,903
Sofia Davis,TCKT-100023,West,2025-10-25 14:50:00,Basic,High,comment_added,E. Johnson,phone,new,new,bug,1073
Sofia Davis,TCKT-100023,West,2025-10-25 14:50:00,Basic,High,status_changed,C. Patel,email,new,open,refund,1542
Sofia Davis,TCKT-100023,West,2025-10-25 14:50:00,Basic,High,tag_added,D. Kim,chat,open,open,bug,603
Sofia Davis,TCKT-100023,West,2025-10-25 15:05:00,Basic,High,comment_added,B. Rivera,phone,open,open,feature_request,215
Ava Thomas,TCKT-100024,Midwest,2025-08-23 06:09:00,Basic,Urgent,comment_added,A. Chen,phone,new,new,login,953
Ava Thomas,TCKT-100024,Midwest,2025-08-23 06:09:00,Basic,Urgent,tag_added,D. Kim,email,new,new,feature_request,42
Ava Thomas,TCKT-100024,Midwest,2025-08-23 06:09:00,Basic,Urgent,status_changed,F. Singh,email,new,resolved,how_to,813
Ava Thomas,TCKT-100024,Midwest,2025-08-23 06:27:00,Basic,Urgent,status_changed,G. Nguyen,phone,resolved,open,billing,1568
Ava Thomas,TCKT-100024,Midwest,2025-08-23 08:33:00,Basic,Urgent,status_changed,E. Johnson,web,open,open,account,401
Ava Thomas,TCKT-100024,Midwest,2025-08-23 09:21:00,Basic,Urgent,tag_added,D. Kim,email,open,open,login,465
Ava Thomas,TCKT-100024,Midwest,2025-08-23 09:21:00,Basic,Urgent,status_changed,G. Nguyen,email,open,open,account,1615
Ava Thomas,TCKT-100024,Midwest,2025-08-23 09:21:00,Basic,Urgent,comment_added,D. Kim,email,open,open,feature_request,1003
Lucas Martinez,TCKT-100025,Midwest,2025-12-16 10:21:00,Pro,Medium,comment_added,G. Nguyen,chat,new,new,billing,1430
Lucas Martinez,TCKT-100025,Midwest,2025-12-16 10:21:00,Pro,Medium,assigned,B. Rivera,email,new,new,bug,1185
Lucas Martinez,TCKT-100025,Midwest,2025-12-16 13:22:00,Pro,Medium,assigned,A. Chen,email,new,new,refund,1170
Lucas Martinez,TCKT-100025,Midwest,2025-12-16 14:26:00,Pro,Medium,tag_removed,G. Nguyen,phone,new,new,billing,1276
Emma Garcia,TCKT-100026,Mountain,2025-09-24 21:43:00,Basic,Urgent,tag_removed,G. Nguyen,email,new,new,bug,1401
Emma Garcia,TCKT-100026,Mountain,2025-09-24 21:43:00,Basic,Urgent,comment_added,B. Rivera,email,new,new,refund,1043
Emma Garcia,TCKT-100026,Mountain,2025-09-25 00:16:00,Basic,Urgent,comment_added,A. Chen,phone,new,new,refund,435
Emma Garcia,TCKT-100026,Mountain,2025-09-25 00:16:00,Basic,Urgent,status_changed,G. Nguyen,phone,new,open,refund,1642
Emma Garcia,TCKT-100026,Mountain,2025-09-25 01:05:00,Basic,Urgent,status_changed,A. Chen,email,open,open,account,153
Emma Garcia,TCKT-100026,Mountain,2025-09-25 01:05:00,Basic,Urgent,tag_removed,F. Singh,chat,open,open,feature_request,677
Emma Garcia,TCKT-100026,Mountain,2025-09-25 01:05:00,Basic,Urgent,comment_added,F. Singh,email,open,open,billing,1066
Emma Garcia,TCKT-100026,Mountain,2025-09-25 04:11:00,Basic,Urgent,assigned,E. Johnson,phone,open,open,how_to,350
Emma Garcia,TCKT-100026,Mountain,2025-09-25 06:43:00,Basic,Urgent,tag_removed,D. Kim,chat,open,open,how_to,225
Noah Miller,TCKT-100027,West,2025-09-20 07:32:00,Basic,High,tag_removed,G. Nguyen,phone,new,new,how_to,1251
Noah Miller,TCKT-100027,West,2025-09-20 10:24:00,Basic,High,comment_added,D. Kim,email,new,new,feature_request,92
Noah Miller,TCKT-100027,West,2025-09-20 10:24:00,Basic,High,status_changed,B. Rivera,chat,new,new,how_to,885
Noah Miller,TCKT-100027,West,2025-09-20 12:27:00,Basic,High,assigned,G. Nguyen,chat,new,new,feature_request,730
Noah Miller,TCKT-100027,West,2025-09-20 12:27:00,Basic,High,comment_added,C. Patel,email,new,new,how_to,1308
Noah Miller,TCKT-100027,West,2025-09-20 14:41:00,Basic,High,status_changed,D. Kim,web,new,new,refund,1751
Ava Davis,TCKT-100028,West,2025-09-08 23:53:00,Enterprise,Medium,comment_added,B. Rivera,phone,new,new,feature_request,260
Ava Davis,TCKT-100028,West,2025-09-08 23:53:00,Enterprise,Medium,tag_added,G. Nguyen,web,new,new,account,630
Ava Davis,TCKT-100028,West,2025-09-08 23:53:00,Enterprise,Medium,status_changed,D. Kim,email,new,new,billing,1392
Ava Davis,TCKT-100028,West,2025-09-09 03:18:00,Enterprise,Medium,comment_added,A. Chen,phone,new,new,account,697
Ava Davis,TCKT-100028,West,2025-09-09 03:18:00,Enterprise,Medium,assigned,F. Singh,chat,new,new,how_to,1010
Ava Davis,TCKT-100028,West,2025-09-09 03:33:00,Enterprise,Medium,comment_added,F. Singh,email,new,new,refund,506
Mason Martinez,TCKT-100029,Midwest,2025-08-24 21:48:00,Basic,Medium,status_changed,F. Singh,email,new,new,account,1732
Mason Martinez,TCKT-100029,Midwest,2025-08-24 21:48:00,Basic,Medium,tag_removed,B. Rivera,email,new,new,billing,534
Mason Martinez,TCKT-100029,Midwest,2025-08-24 21:48:00,Basic,Medium,comment_added,B. Rivera,chat,new,new,refund,203
Mason Martinez,TCKT-100029,Midwest,2025-08-24 23:55:00,Basic,Medium,status_changed,A. Chen,chat,new,open,bug,827
Mason Martinez,TCKT-100029,Midwest,2025-08-24 23:55:00,Basic,Medium,assigned,F. Singh,web,open,open,login,575
Mason Martinez,TCKT-100029,Midwest,2025-08-25 00:29:00,Basic,Medium,comment_added,F. Singh,email,open,open,login,1242
Mason Davis,TCKT-100030,West,2025-12-07 18:32:00,Pro,Medium,tag_removed,E. Johnson,email,new,new,bug,683
Mason Davis,TCKT-100030,West,2025-12-07 18:39:00,Pro,Medium,comment_added,E. Johnson,email,new,new,refund,136
Mason Davis,TCKT-100030,West,2025-12-07 22:23:00,Pro,Medium,comment_added,F. Singh,email,new,new,account,130
Mason Davis,TCKT-100030,West,2025-12-07 22:23:00,Pro,Medium,assigned,B. Rivera,chat,new,new,billing,45
Mason Davis,TCKT-100030,West,2025-12-07 22:25:00,Pro,Medium,tag_added,B. Rivera,email,new,new,billing,730
Mason Davis,TCKT-100030,West,2025-12-07 22:25:00,Pro,Medium,comment_added,G. Nguyen,email,new,new,refund,683
Mason Davis,TCKT-100030,West,2025-12-08 00:42:00,Pro,Medium,comment_added,D. Kim,chat,new,new,how_to,894
Liam Lee,TCKT-100031,South,2025-09-25 10:17:00,Basic,Medium,assigned,E. Johnson,chat,new,new,login,1713
Liam Lee,TCKT-100031,South,2025-09-25 10:17:00,Basic,Medium,comment_added,E. Johnson,email,new,new,how_to,1425
Liam Lee,TCKT-100031,South,2025-09-25 10:17:00,Basic,Medium,status_changed,A. Chen,email,new,pending,account,327
Liam Lee,TCKT-100031,South,2025-09-25 10:29:00,Basic,Medium,comment_added,G. Nguyen,phone,pending,pending,billing,838
Liam Lee,TCKT-100031,South,2025-09-25 10:29:00,Basic,Medium,tag_removed,F. Singh,email,pending,pending,how_to,956
Liam Lee,TCKT-100031,South,2025-09-25 10:29:00,Basic,Medium,status_changed,G. Nguyen,email,pending,closed,bug,343
Ava Johnson,TCKT-100032,Northeast,2025-10-21 02:28:00,Basic,Low,comment_added,F. Singh,email,new,new,feature_request,698
Ava Johnson,TCKT-100032,Northeast,2025-10-21 02:28:00,Basic,Low,status_changed,C. Patel,email,new,closed,bug,600
Ava Johnson,TCKT-100032,Northeast,2025-10-21 02:28:00,Basic,Low,assigned,E. Johnson,email,closed,closed,feature_request,843
Ava Johnson,TCKT-100032,Northeast,2025-10-21 04:39:00,Basic,Low,status_changed,G. Nguyen,email,closed,pending,feature_request,1572
Ava Johnson,TCKT-100032,Northeast,2025-10-21 04:39:00,Basic,Low,assigned,G. Nguyen,email,pending,pending,feature_request,478
Ava Johnson,TCKT-100032,Northeast,2025-10-21 06:18:00,Basic,Low,tag_added,D. Kim,chat,pending,pending,billing,616
Liam Anderson,TCKT-100033,South,2025-08-23 19:48:00,Enterprise,Medium,comment_added,A. Chen,email,new,new,bug,1009
Liam Anderson,TCKT-100033,South,2025-08-23 21:11:00,Enterprise,Medium,status_changed,B. Rivera,email,new,new,how_to,19
Liam Anderson,TCKT-100033,South,2025-08-23 21:11:00,Enterprise,Medium,comment_added,G. Nguyen,email,new,new,feature_request,329
Liam Anderson,TCKT-100033,South,2025-08-23 23:06:00,Enterprise,Medium,comment_added,D. Kim,email,new,new,bug,214
Liam Anderson,TCKT-100033,South,2025-08-23 23:06:00,Enterprise,Medium,status_changed,F. Singh,email,new,pending,login,875
Liam Anderson,TCKT-100033,South,2025-08-24 01:45:00,Enterprise,Medium,comment_added,F. Singh,email,pending,pending,feature_request,1472
Liam Anderson,TCKT-100033,South,2025-08-24 01:45:00,Enterprise,Medium,tag_added,C. Patel,chat,pending,pending,how_to,1562
Liam Anderson,TCKT-100033,South,2025-08-24 03:14:00,Enterprise,Medium,assigned,A. Chen,email,pending,pending,bug,1194
Liam Anderson,TCKT-100033,South,2025-08-24 05:39:00,Enterprise,Medium,assigned,D. Kim,email,pending,pending,bug,556
Isla Johnson,TCKT-100034,Northeast,2025-09-14 12:51:00,Enterprise,Medium,comment_added,A. Chen,phone,new,new,account,1687
Isla Johnson,TCKT-100034,Northeast,2025-09-14 12:51:00,Enterprise,Medium,tag_added,E. Johnson,email,new,new,refund,527
Isla Johnson,TCKT-100034,Northeast,2025-09-14 13:37:00,Enterprise,Medium,comment_added,A. Chen,chat,new,new,account,1031
Isla Johnson,TCKT-100034,Northeast,2025-09-14 14:59:00,Enterprise,Medium,status_changed,A. Chen,email,new,pending,billing,1546
Isla Johnson,TCKT-100034,Northeast,2025-09-14 17:24:00,Enterprise,Medium,status_changed,G. Nguyen,email,pending,open,bug,1716
Isla Johnson,TCKT-100034,Northeast,2025-09-14 20:08:00,Enterprise,Medium,tag_added,D. Kim,email,open,open,billing,1516
Isla Johnson,TCKT-100034,Northeast,2025-09-14 20:08:00,Enterprise,Medium,comment_added,B. Rivera,web,open,open,billing,108
Isla Johnson,TCKT-100034,Northeast,2025-09-14 20:08:00,Enterprise,Medium,assigned,E. Johnson,email,open,open,bug,1683
Zoe Garcia,TCKT-100035,South,2025-11-10 23:46:00,Basic,Low,comment_added,E. Johnson,chat,new,new,feature_request,1488
Zoe Garcia,TCKT-100035,South,2025-11-10 23:46:00,Basic,Low,assigned,A. Chen,phone,new,new,login,390
Zoe Garcia,TCKT-100035,South,2025-11-11 00:12:00,Basic,Low,status_changed,B. Rivera,email,new,closed,billing,31
Zoe Garcia,TCKT-100035,South,2025-11-11 00:12:00,Basic,Low,tag_removed,C. Patel,web,closed,closed,how_to,520
Zoe Garcia,TCKT-100035,South,2025-11-11 01:54:00,Basic,Low,tag_added,F. Singh,chat,closed,closed,account,678
